Date,Bonds Yield Close,BAA Yield Close,Month end,30 years yahoo,Bond price,DJA,BAA 20+ price,Effective FED rate
05/26/1896,3.53,,0,0,100,40.94,,
05/27/1896,3.5275,,0,0,100.0708717,40.58,,
05/28/1896,3.525,,0,0,100.141844,40.2,,
05/29/1896,3.5225,,0,0,100.212917,40.63,,
06/01/1896,3.52,,1,0,100.2840909,40.6,,
06/02/1896,3.519230769,,0,0,100.3060109,40.04,,
06/03/1896,3.518461538,,0,0,100.3279405,39.77,,
06/04/1896,3.517692308,,0,0,100.3498797,39.94,,
06/05/1896,3.516923077,,0,0,100.3718285,40.32,,
06/06/1896,3.516153846,,0,0,100.3937869,40.34,,
06/08/1896,3.515384615,,0,0,100.4157549,39.81,,
06/09/1896,3.514615385,,0,0,100.4377325,39.34,,
06/10/1896,3.513846154,,0,0,100.4597198,38.41,,
06/11/1896,3.513076923,,0,0,100.4817167,39.4,,
06/12/1896,3.512307692,,0,0,100.5037232,39.31,,
06/13/1896,3.511538462,,0,0,100.5257393,39.55,,
06/15/1896,3.510769231,,0,0,100.5477651,39.93,,
06/16/1896,3.51,,0,0,100.5698006,40.45,,
06/17/1896,3.509230769,,0,0,100.5918457,40.54,,
06/18/1896,3.508461538,,0,0,100.6139005,39.76,,
06/19/1896,3.507692308,,0,0,100.6359649,40.03,,
06/20/1896,3.506923077,,0,0,100.658039,39.89,,
06/22/1896,3.506153846,,0,0,100.6801229,38.73,,
06/23/1896,3.505384615,,0,0,100.7022164,38.14,,
06/24/1896,3.504615385,,0,0,100.7243196,38.27,,
06/25/1896,3.503846154,,0,0,100.7464325,37.97,,
06/26/1896,3.503076923,,0,0,100.7685551,37.89,,
06/27/1896,3.502307692,,0,0,100.7906875,37.04,,
06/29/1896,3.501538462,,0,0,100.8128295,35.53,,
06/30/1896,3.500769231,,0,0,100.8349813,36.15,,
07/01/1896,3.5,,1,0,100.8571429,34.59,,
07/02/1896,3.499230769,,0,0,100.8793141,34.91,,
07/03/1896,3.498461538,,0,0,100.9014952,34.74,,
07/06/1896,3.497692308,,0,0,100.9236859,34.87,,
07/07/1896,3.496923077,,0,0,100.9458865,35.15,,
07/08/1896,3.496153846,,0,0,100.9680968,35.19,,
07/09/1896,3.495384615,,0,0,100.9903169,34.68,,
07/10/1896,3.494615385,,0,0,101.0125468,34.84,,
07/11/1896,3.493846154,,0,0,101.0347864,35.6,,
07/13/1896,3.493076923,,0,0,101.0570359,34.69,,
07/14/1896,3.492307692,,0,0,101.0792952,33.43,,
07/15/1896,3.491538462,,0,0,101.1015642,32.28,,
07/16/1896,3.490769231,,0,0,101.1238431,31.95,,
07/17/1896,3.49,,0,0,101.1461318,31.94,,
07/18/1896,3.489230769,,0,0,101.1684303,31.5,,
07/20/1896,3.488461538,,0,0,101.1907387,30.5,,
07/21/1896,3.487692308,,0,0,101.2130569,30.68,,
07/22/1896,3.486923077,,0,0,101.235385,31.99,,
07/23/1896,3.486153846,,0,0,101.2577229,32.29,,
07/24/1896,3.485384615,,0,0,101.2800706,31.54,,
07/25/1896,3.484615385,,0,0,101.3024283,31.68,,
07/27/1896,3.483846154,,0,0,101.3247958,31.46,,
07/28/1896,3.483076923,,0,0,101.3471731,30.82,,
07/29/1896,3.482307692,,0,0,101.3695604,30.97,,
07/30/1896,3.481538462,,0,0,101.3919576,31.48,,
07/31/1896,3.480769231,,0,0,101.4143646,32.02,,
08/01/1896,3.48,,1,0,101.4367816,31.74,,
08/03/1896,3.479615385,,0,0,101.4479938,31.49,,
08/04/1896,3.479230769,,0,0,101.4592085,30.99,,
08/05/1896,3.478846154,,0,0,101.4704256,30.93,,
08/06/1896,3.478461538,,0,0,101.4816453,29.99,,
08/07/1896,3.478076923,,0,0,101.4928674,28.66,,
08/08/1896,3.477692308,,0,0,101.504092,28.48,,
08/10/1896,3.477307692,,0,0,101.5153191,28.96,,
08/11/1896,3.476923077,,0,0,101.5265487,30.3,,
08/12/1896,3.476538462,,0,0,101.5377807,29.37,,
08/13/1896,3.476153846,,0,0,101.5490153,30.37,,
08/14/1896,3.475769231,,0,0,101.5602523,30.73,,
08/15/1896,3.475384615,,0,0,101.5714918,30.61,,
08/17/1896,3.475,,0,0,101.5827338,31.06,,
08/18/1896,3.474615385,,0,0,101.5939783,30.99,,
08/19/1896,3.474230769,,0,0,101.6052253,31.31,,
08/20/1896,3.473846154,,0,0,101.6164748,30.72,,
08/21/1896,3.473461538,,0,0,101.6277267,30.55,,
08/22/1896,3.473076923,,0,0,101.6389812,30.91,,
08/24/1896,3.472692308,,0,0,101.6502381,30.67,,
08/25/1896,3.472307692,,0,0,101.6614976,30.61,,
08/26/1896,3.471923077,,0,0,101.6727595,30.29,,
08/27/1896,3.471538462,,0,0,101.6840239,30.31,,
08/28/1896,3.471153846,,0,0,101.6952909,30.88,,
08/29/1896,3.470769231,,0,0,101.7065603,31.24,,
08/31/1896,3.470384615,,0,0,101.7178322,31.97,,
09/01/1896,3.47,,1,0,101.7291066,32.02,,
09/02/1896,3.4692,,0,0,101.7525654,33.49,,
09/03/1896,3.4684,,0,0,101.7760351,33.8,,
09/04/1896,3.4676,,0,0,101.7995155,34.7,,
09/05/1896,3.4668,,0,0,101.8230068,35.07,,
09/08/1896,3.466,,0,0,101.8465089,35.5,,
09/09/1896,3.4652,,0,0,101.8700219,35.39,,
09/10/1896,3.4644,,0,0,101.8935458,34.58,,
09/11/1896,3.4636,,0,0,101.9170805,35.3,,
09/12/1896,3.4628,,0,0,101.9406261,35.02,,
09/14/1896,3.462,,0,0,101.9641826,34.86,,
09/15/1896,3.4612,,0,0,101.9877499,34.13,,
09/16/1896,3.4604,,0,0,102.0113282,33.32,,
09/17/1896,3.4596,,0,0,102.0349173,34.33,,
09/18/1896,3.4588,,0,0,102.0585174,34.81,,
09/19/1896,3.458,,0,0,102.0821284,35.03,,
09/21/1896,3.4572,,0,0,102.1057503,35.53,,
09/22/1896,3.4564,,0,0,102.1293832,35.59,,
09/23/1896,3.4556,,0,0,102.153027,35.78,,
09/24/1896,3.4548,,0,0,102.1766817,36.23,,
09/25/1896,3.454,,0,0,102.2003474,36.61,,
09/26/1896,3.4532,,0,0,102.2240241,36.75,,
09/28/1896,3.4524,,0,0,102.2477117,36.35,,
09/29/1896,3.4516,,0,0,102.2714104,36.33,,
09/30/1896,3.4508,,0,0,102.29512,36.05,,
10/01/1896,3.45,,1,0,102.3188406,36.01,,
10/02/1896,3.449259259,,0,0,102.3408139,35.88,,
10/03/1896,3.448518519,,0,0,102.3627967,35.82,,
10/05/1896,3.447777778,,0,0,102.3847889,35.92,,
10/06/1896,3.447037037,,0,0,102.4067906,35.91,,
10/07/1896,3.446296296,,0,0,102.4288017,35.3,,
10/08/1896,3.445555556,,0,0,102.4508223,35.42,,
10/09/1896,3.444814815,,0,0,102.4728524,34.96,,
10/10/1896,3.444074074,,0,0,102.4948919,35.09,,
10/12/1896,3.443333333,,0,0,102.5169409,34.74,,
10/13/1896,3.442592593,,0,0,102.5389995,36.18,,
10/14/1896,3.441851852,,0,0,102.5610675,36.15,,
10/15/1896,3.441111111,,0,0,102.583145,36.2,,
10/16/1896,3.44037037,,0,0,102.605232,36.26,,
10/17/1896,3.43962963,,0,0,102.6273285,35.57,,
10/19/1896,3.438888889,,0,0,102.6494346,36.5,,
10/20/1896,3.438148148,,0,0,102.6715501,37.42,,
10/21/1896,3.437407407,,0,0,102.6936753,37.32,,
10/22/1896,3.436666667,,0,0,102.7158099,37.86,,
10/23/1896,3.435925926,,0,0,102.7379541,38.49,,
10/24/1896,3.435185185,,0,0,102.7601078,38.87,,
10/26/1896,3.434444444,,0,0,102.7822711,38.71,,
10/27/1896,3.433703704,,0,0,102.804444,38.88,,
10/28/1896,3.432962963,,0,0,102.8266264,38.39,,
